symbol,price,price_change,price_percent_change
ABTS,8.41,6.08,260.94
ACDC,4.4,0.42,10.69
AEVA,11.12,0.93,9.13
AQN,5.99,0.53,9.71
AREN,7.11,0.96,15.61
ARLO,12.43,1.79,16.82
ARQ,3.9,0.34,9.55
ASPI,6.42,0.63,10.78
ASPN,4.95,0.64,14.85
ATGE,136.25,20.37,17.58
ATHE,4.8,0.57,13.48
ATHR,10.65,0.92,9.46
CARG,31.08,3.13,11.2
CDE,7.84,0.87,12.48
CNCK,8.88,1.08,13.85
CRVS,4.43,1.08,32.24
CURI,4.99,0.52,11.63
CXDO,5.64,0.49,9.51
DAVE,167.22,14.49,9.49
DC,3.08,0.33,12.0
DDC,2.46,0.27,12.36
DFDV,74.97,18.56,32.9
DH,3.69,0.88,31.32
DIOD,44.75,4.82,12.07
DOMH,5.99,0.67,12.59
EVO,4.3,0.39,9.97
EXOD,50.13,7.64,17.98
FOXF,23.78,2.43,11.38
FROG,39.0,3.74,10.61
FSI,4.45,0.52,13.23
GDOT,10.94,2.24,25.75
GENVR,8.17,0.68,9.08
GIBO,6.98,3.32,90.71
GOGO,11.0,3.43,45.31
HCAI,9.15,1.54,20.24
HFFG,4.35,0.45,11.54
HNST,4.84,0.46,10.5
IBEX,30.55,4.89,19.06
III,4.64,0.64,16.0
IZEA,2.31,0.3,14.93
JMIA,3.3,0.43,14.98
KINS,21.67,3.48,19.13
KRT,30.26,2.92,10.68
KZIA,3.62,0.36,11.04
LASR,11.67,3.06,35.54
LCFY,4.94,0.46,10.14
LYFT,16.65,3.65,28.08
MARA,15.76,1.47,10.29
MCHP,55.33,6.19,12.6
MDCX,4.59,0.41,9.81
MITK,9.74,0.93,10.56
MKTW,15.13,1.3,9.4
MWYN,5.76,1.35,30.61
NGVC,59.74,13.87,30.24
NTHI,7.34,0.74,11.21
NUS,6.84,0.68,11.04
ODP,17.18,1.76,11.41
ONEW,13.88,1.31,10.42
OPRT,6.71,0.56,9.11
OUST,10.62,1.97,22.77
OWLT,4.84,0.67,16.07
PHAT,3.14,0.85,37.12
PHLT,2.49,0.24,10.67
PHOE,3.2,0.3,10.34
PHX,4.33,0.75,20.95
PODD,310.67,53.67,20.88
PSIX,30.36,2.61,9.41
RGC,366.01,154.01,72.65
RPID,3.08,0.63,25.71
RSSS,3.08,0.27,9.61
RUM,9.3,1.52,19.54
RUN,9.38,0.88,10.35
RYET,9.46,1.65,21.04
SAGT,4.46,0.51,12.91
SBET,3.58,0.41,12.93
SERV,7.46,0.9,13.72
SEZL,87.1,12.12,16.16
SOC,23.0,2.03,9.68
SOS,5.62,1.0,21.65
SPT,23.9,2.09,9.58
ST,25.55,3.09,13.76
STKS,3.87,0.35,9.94
STRZ,12.34,1.91,18.31
SYRE,14.1,1.24,9.64
TASK,16.85,2.47,17.18
TKNO,6.96,0.59,9.26
TMDX,111.5,18.3,19.64
TOST,40.84,4.19,11.43
TPC,32.71,2.84,9.51
TTD,71.04,11.14,18.6
TTEC,5.3,1.3,32.5
UI,413.52,60.28,17.06
USAU,11.97,1.31,12.29
VATE,7.09,0.61,9.41
VVPR,4.35,0.8,22.54
WBUY,11.32,4.21,59.21
WEST,7.26,1.11,18.05
WTF,7.2,0.66,10.09
YELP,38.98,3.24,9.07
ZKIN,3.99,1.47,58.33
