symbol,price,price_change,price_percent_change
ACAD,17.44,0.51,3.01
ACDVF,12.6,1.48,13.31
AHR,34.93,2.72,8.44
ALG,191.41,12.88,7.21
ALGM,22.33,1.26,5.98
ALLY,34.61,1.11,3.31
ALVO,9.68,0.3,3.2
ANGI,16.1,1.12,7.48
APA,16.72,0.54,3.34
AQN,5.99,0.53,9.71
AR,38.71,1.32,3.53
ATGE,136.25,20.37,17.58
AU,44.8,2.93,7.0
AVPT,18.85,1.45,8.33
BP,29.77,1.18,4.13
BTDR,14.12,0.58,4.28
CAAP,20.95,0.64,3.15
CAR,104.13,3.04,3.01
CARG,31.08,3.13,11.2
CCJ,50.73,1.49,3.03
CDE,7.84,0.87,12.48
CELH,36.77,1.53,4.34
CHWY,39.57,1.33,3.48
CLSK,9.2,0.52,5.99
CRK,23.34,0.77,3.41
CRUS,100.53,2.96,3.03
CVE,13.24,0.48,3.76
CXT,52.8,1.84,3.61
DAN,15.62,0.57,3.79
DAVE,167.22,14.49,9.49
DIOD,44.75,4.82,12.07
EE,28.68,1.18,4.29
ELP,8.64,0.34,4.1
ENPH,50.78,1.73,3.52
EQT,55.62,2.22,4.16
EVCM,11.0,0.65,6.28
EXE,112.38,3.57,3.28
FRGE,14.5,0.9,6.62
FROG,39.0,3.74,10.61
FSLR,140.68,6.92,5.17
FUN,35.91,1.47,4.27
HASI,26.97,1.07,4.13
HL,5.15,0.23,4.67
HMY,15.77,0.55,3.61
HTZ,6.72,0.48,7.69
IMPUY,6.25,0.26,4.34
ITUB,6.61,0.39,6.27
KGFHY,8.11,0.26,3.31
LPLA,360.42,21.43,6.32
LYFT,16.65,3.65,28.08
MARA,15.76,1.47,10.29
MBLY,16.3,0.62,3.95
MCHP,55.33,6.19,12.6
MCY,60.19,3.07,5.37
MKSI,80.05,2.76,3.57
MNSO,19.67,1.15,6.21
MRVL,59.65,2.02,3.51
NET,132.34,8.03,6.46
NNI,112.67,6.3,5.92
NXE,5.73,0.18,3.24
NXT,46.54,1.94,4.35
ODD,71.0,3.26,4.81
OKLO,28.09,1.14,4.23
ON,40.98,1.21,3.04
ORLA,11.1,0.39,3.64
OS,26.09,1.72,7.06
PAAS,27.21,1.66,6.5
PAM,75.44,3.08,4.26
PAR,64.73,2.33,3.73
PAYO,6.63,0.3,4.74
PBF,20.13,0.8,4.14
PINS,29.22,1.36,4.88
PODD,310.67,53.67,20.88
PONY,17.93,0.97,5.72
POWI,54.11,2.37,4.58
PRDO,31.06,0.93,3.09
PTCT,44.23,1.72,4.05
QBTS,11.09,0.67,6.43
RGC,366.01,154.01,72.65
RGLD,184.41,5.69,3.18
RIVN,14.26,0.58,4.24
RNG,27.72,1.05,3.94
ROAD,95.75,3.28,3.55
ROOT,147.42,5.93,4.19
RRC,37.86,1.13,3.08
RUM,9.3,1.52,19.54
RUN,9.38,0.88,10.35
SAND,8.81,0.28,3.28
SLAB,117.05,5.98,5.38
SLF,62.14,2.2,3.67
SOC,23.0,2.03,9.68
SOLV,70.23,3.6,5.4
SSRM,11.59,0.81,7.51
ST,25.55,3.09,13.76
STM,23.93,0.77,3.32
STVN,24.0,1.52,6.76
SYM,24.75,0.81,3.38
TEO,10.49,0.52,5.22
TGS,27.9,1.14,4.26
TMDX,111.5,18.3,19.64
TOST,40.84,4.19,11.43
TSLA,298.26,13.44,4.72
TTD,71.04,11.14,18.6
TU,15.99,1.06,7.1
TX,28.51,1.25,4.59
TXN,172.27,6.63,4.0
TXRH,180.81,8.26,4.79
UI,413.52,60.28,17.06
WPM,85.77,3.31,4.01
YELP,38.98,3.24,9.07
YPF,32.7,1.86,6.03
ZK,28.09,2.03,7.79
,,,
