,Unnamed: 0,Volume,Last,Chg,% Chg
0,Chimerix Inc. (CMRX),105.9M,8.42,3.46,69.76
1,ChromaDex Corp. (CDXC),14.9M,8.82,3.22,57.5
2,Latham Group Inc. (SWIM),1.1M,7.19,1.73,31.68
3,Radiopharm Theranostics Ltd. ADR (RADX),514.2K,7.66,1.7,28.52
4,comScore Inc. (SCOR),53.6K,7.23,1.52,26.62
5,MicroAlgo Inc. (MLGO),5.3M,5.2,1.05,25.3
6,Aclarion Inc. (ACON),3.6M,7.18,1.44,24.96
7,Crexendo Inc. (CXDO),459.4K,7.17,1.4,24.26
8,Nexxen International Ltd. (NEXN),566.0K,9.22,1.8,24.26
9,Satellogic Inc. (SATL),628.9K,3.26,0.6,22.74
10,Surf Air Mobility Inc. (SRFM),217.5K,3.95,0.73,22.67
11,Astronics Corp. (ATRO),1.4M,24.4,4.44,22.24
12,Bakkt Holdings Inc. (BKKT),1.5M,15.71,2.82,21.88
13,Cryoport Inc. (CYRX),568.6K,6.15,1.09,21.54
14,Yoshiharu Global Co. (YOSH),98.3K,10.71,1.82,20.47
15,Tonix Pharmaceuticals Holding Corp. (TNXP),1.0M,9.35,1.55,19.87
16,Eos Energy Enterprises Inc. (EOSE),7.2M,4.68,0.74,18.91
17,Organogenesis Holdings Inc. Cl A (ORGO),1.1M,5.92,0.88,17.48
18,OSR Holdings Inc. (OSRH),58.0K,2.65,0.37,16.23
19,ATRenew Inc. ADR (RERE),1.3M,3.25,0.45,16.07
20,LZ Technology Holdings Ltd. Cl B (LZMH),285.3K,7.26,0.98,15.61
21,AST SpaceMobile Inc. (ASTS),17.1M,33.0,4.39,15.34
22,KALA BIO Inc. (KALA),58.9K,7.94,1.02,14.77
23,VNET Group Inc. ADR (VNET),9.0M,12.27,1.56,14.57
24,SiTime Corp. (SITM),203.3K,174.25,21.83,14.32
25,Custom Truck One Source Inc. (CTOS),1.2M,4.58,0.56,13.93
26,BioXcel Therapeutics Inc. (BTAI),8.9M,3.06,0.36,13.34
27,Oncocyte Corp. (OCX),94.7K,3.6,0.41,12.85
28,Xunlei Ltd. ADR (XNET),1.3M,4.26,0.48,12.7
29,LexinFintech Holdings Ltd. ADR (LX),3.1M,9.57,1.07,12.65
30,XTI Aerospace Inc. (XTIA),432.2K,2.78,0.3,12.1
