,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,SWTX,"SpringWorks Therapeutics, Inc.",,55.31 +15.03 (+37.31%),15.03,+37.31%,8.426M,1.479M,4.114B,-,-12.26%,
1,MNDY,monday.com Ltd.,,337.87 +79.63 (+30.94%),79.63,+30.94%,4.159M,1.024M,16.846B,767.89,21.81%,
2,AXSM,"Axsome Therapeutics, Inc.",,130.51 +24.75 (+23.40%),24.75,+23.40%,2.863M,799526,6.325B,-,8.32%,
3,ASTS,"AST SpaceMobile, Inc.",,32.10 +5.59 (+21.10%),5.59,+21.10%,23.208M,9.535M,9.3B,-,653.12%,
4,MBLY,Mobileye Global Inc.,,18.45 +2.38 (+14.81%),2.38,+14.81%,8.959M,6.908M,14.964B,-,-42.11%,
5,CLF,Cleveland-Cliffs Inc.,,11.47 +1.43 (+14.21%),1.43,+14.21%,23.578M,14.108M,5.664B,-,-48.70%,
6,NSP,"Insperity, Inc.",,78.93 +9.33 (+13.41%),9.33,+13.41%,342184,395805,2.951B,24.98,-26.98%,
7,ROK,"Rockwell Automation, Inc.",,299.05 +30.65 (+11.42%),30.65,+11.42%,1.12M,891863,33.802B,36.16,-4.38%,
8,VNET,"VNET Group, Inc.",,10.08 +1.08 (+12.02%),1.08,+12.02%,7.781M,3.723M,2.692B,-,476.92%,
9,ZIM,ZIM Integrated Shipping Services Ltd.,,19.97 +1.88 (+10.36%),1.88,+10.36%,5.162M,6.361M,2.404B,1.67,49.38%,
10,LNW,"Light & Wonder, Inc.",,96.75 +8.79 (+9.99%),8.79,+9.99%,473603,612545,8.544B,30.14,-0.81%,
11,SMCI,"Super Micro Computer, Inc.",,39.77 +3.49 (+9.62%),3.49,+9.62%,60.954M,68.356M,23.289B,19.79,-53.07%,
12,ACHR,Archer Aviation Inc.,,9.89 +0.87 (+9.63%),0.87,+9.63%,22.793M,39.437M,4.96B,-,61.36%,
13,PTON,"Peloton Interactive, Inc.",,9.09 +0.72 (+8.54%),0.72,+8.54%,13.048M,13.244M,3.543B,-,74.01%,
14,AUR,"Aurora Innovation, Inc.",,7.77 +0.57 (+7.92%),0.57,+7.92%,4.635M,13.277M,13.352B,-,115.57%,
15,SMR,NuScale Power Corporation,,27.78 +1.94 (+7.50%),1.94,+7.50%,8.762M,11.208M,3.359B,-,803.50%,
16,TDOC,"Teladoc Health, Inc.",,13.94 +0.99 (+7.61%),0.99,+7.61%,9.806M,5.272M,2.399B,-,-38.63%,
17,PONY,Pony AI Inc.,,14.96 +0.96 (+6.86%),0.96,+6.86%,1.675M,1.041M,5.22B,-,16.67%,
18,GME,GameStop Corp.,,26.39 +1.66 (+6.71%),1.66,+6.71%,5.385M,10.899M,11.791B,131.95,67.89%,
19,ASAN,"Asana, Inc.",,23.31 +1.49 (+6.83%),1.49,+6.83%,2.95M,3.873M,5.332B,-,11.27%,
20,FTAI,FTAI Aviation Ltd.,,120.03 +7.19 (+6.37%),7.19,+6.37%,746154,2.72M,12.309B,-,108.42%,
21,BP,BP p.l.c.,,34.37 +2.10 (+6.49%),2.1,+6.49%,18.454M,10.336M,89.772B,34.37,-11.42%,
22,KC,Kingsoft Cloud Holdings Limited,,18.04 +1.10 (+6.49%),1.1,+6.49%,3.032M,3.929M,4.284B,-,513.77%,
23,LB,LandBridge Company LLC,,69.94 +4.53 (+6.92%),4.53,+6.92%,261153,627048,5.35B,-,182.59%,
24,BEKE,KE Holdings Inc.,,19.06 +1.14 (+6.36%),1.14,+6.36%,4.184M,6.912M,23.052B,38.90,31.67%,
25,BABA,Alibaba Group Holding Limited,,110.23 +6.72 (+6.49%),6.72,+6.49%,21.334M,17.419M,261.901B,22.87,41.52%,
26,DOCS,"Doximity, Inc.",,84.18 +4.95 (+6.25%),4.95,+6.25%,2.207M,2.163M,15.796B,84.18,160.11%,
27,MPNGY,Meituan,,41.84 +2.44 (+6.19%),2.44,+6.19%,73736,396508,127.064B,44.04,118.89%,
28,AI,"C3.ai, Inc.",,35.61 +2.13 (+6.36%),2.13,+6.36%,3.423M,7.794M,4.596B,-,7.38%,
29,AU,AngloGold Ashanti plc,,33.35 +1.92 (+6.11%),1.92,+6.11%,1.742M,3.182M,16.792B,25.08,77.77%,
30,RKLB,"Rocket Lab USA, Inc.",,29.09 +1.68 (+6.12%),1.68,+6.12%,11.789M,23.665M,13.059B,-,480.72%,
31,TTD,"The Trade Desk, Inc.",,124.11 +6.82 (+5.82%),6.82,+5.82%,2.983M,3.722M,61.26B,200.19,58.69%,
32,ATKR,Atkore Inc.,,69.17 +3.71 (+5.67%),3.71,+5.67%,355007,694636,2.379B,6.66,-56.36%,
33,ROKU,"Roku, Inc.",,89.64 +4.64 (+5.46%),4.64,+5.46%,3.1M,3.188M,13.016B,-,-13.77%,
34,GDS,GDS Holdings Limited,,28.83 +1.55 (+5.68%),1.55,+5.68%,1M,1.57M,5.657B,-,334.47%,
35,NUE,Nucor Corporation,,137.40 +7.15 (+5.49%),7.15,+5.49%,2.724M,2.45M,32.264B,16.26,-30.01%,
36,WDC,Western Digital Corporation,,67.93 +3.47 (+5.39%),3.47,+5.39%,4.559M,5.769M,23.629B,19.63,12.46%,
37,APA,APA Corporation,,22.81 +1.14 (+5.24%),1.14,+5.24%,1.845M,6.581M,8.437B,3.24,-28.90%,
38,TS,Tenaris S.A.,,40.01 +2.01 (+5.28%),2.01,+5.28%,916071,1.365M,21.773B,8.70,18.34%,
