,Unnamed: 0,Volume,Last,Chg,% Chg
0,Xunlei Ltd. ADR (XNET),47.2M,3.99,1.09,37.59
1,Root Inc. Cl A (ROOT),2.0M,129.5,30.79,31.19
2,Red Robin Gourmet Burgers Inc. (RRGB),3.0M,5.91,1.39,30.66
3,Montrose Environmental Group Inc. (MEG),532.5K,22.47,5.03,28.84
4,LZ Technology Holdings Ltd. Cl B (LZMH),2.2M,5.1,1.1,27.5
5,LENSAR Inc. (LNSR),192.5K,12.06,2.59,27.38
6,iBio Inc. (IBIO),3.2M,4.71,0.95,25.27
7,Aris Water Solutions Inc. (ARIS),1.2M,31.45,5.79,22.56
8,Stoneridge Inc. (SRI),1.7M,5.12,0.92,21.81
9,Marqeta Inc. (MQ),14.4M,4.26,0.76,21.51
10,AtlasClear Holdings Inc. (ATCH),8.5M,3.39,0.57,20.21
11,Lemonade Inc. (LMND),5.3M,36.92,5.43,17.26
12,Establishment Labs Holdings Inc. (ESTA),1.0M,41.9,5.84,16.2
13,Oatly Group AB ADR (OTLY),684.1K,9.36,1.28,15.84
14,Radiopharm Theranostics Ltd. ADR (RADX),163.8K,5.71,0.78,15.82
15,Gorilla Technology Group Inc. (GRRR),2.7M,26.18,3.56,15.77
16,LegalZoom.com Inc. (LZ),6.8M,10.22,1.38,15.54
17,Cassava Sciences Inc. (SAVA),2.5M,2.66,0.35,15.43
18,SuRo Capital Corp. (SSSS),645.2K,6.31,0.84,15.36
19,B. Riley Financial Inc. (RILY),18.9M,6.5,0.86,15.25
20,Evertec Inc. (EVTC),600.8K,37.22,4.88,15.08
21,zSpace Inc. (ZSPC),97.8K,14.2,1.83,14.79
22,VSE Corp. (VSEC),339.1K,115.89,14.89,14.74
23,Heico Corp. (HEI),663.1K,259.35,31.9,14.03
24,Medical Properties Trust Inc. (MPW),16.9M,5.42,0.65,13.63
25,Adverum Biotechnologies Inc. (ADVM),228.3K,4.73,0.55,13.16
26,Heico Corp. Cl A (HEI.A),159.0K,208.78,24.26,13.15
27,Postal Realty Trust Inc. Cl A (PSTL),424.8K,14.04,1.63,13.08
28,Nutanix Inc. Cl A (NTNX),5.8M,78.28,8.93,12.88
29,Bitdeer Technologies Group (BTDR),7.1M,11.53,1.28,12.49
30,Service Properties Trust (SVC),2.1M,2.98,0.33,12.22
31,Embraer S/A ADR (ERJ),3.7M,48.04,5.15,12.01
32,Nexstar Media Group Inc. Cl A (NXST),683.1K,163.78,17.45,11.92
33,Palladyne AI Corp. (PDYN),3.4M,7.24,0.77,11.9
34,Warner Bros. Discovery Inc. Series A (WBD),62.8M,11.7,1.2,11.43
35,High-Trend International Group (HTCO),91.1K,3.15,0.32,11.31
36,MARA Holdings Inc. (MARA),65.8M,13.82,1.38,11.04
37,Altimmune Inc. (ALT),1.7M,6.57,0.63,10.61
38,Tecnoglass Inc. (TGLS),267.9K,77.35,7.37,10.53
39,Alphatec Holdings Inc. (ATEC),2.8M,12.22,1.16,10.49
40,COMPASS Pathways PLC ADR (CMPS),784.7K,4.08,0.39,10.41
41,Coya Therapeutics Inc. (COYA),143.8K,6.62,0.62,10.3
42,Rapid Micro Biosystems Inc. (RPID),158.4K,2.98,0.28,10.15
43,M-tron Industries Inc. (MPTI),105.1K,42.84,3.94,10.11
44,Schrodinger Inc. (SDGR),1.0M,23.81,2.11,9.72
45,Amesite Inc. (AMST),43.2M,2.62,0.23,9.62
46,Green Brick Partners Inc. (GRBK),370.4K,63.4,5.56,9.61
47,Veren Inc. (VRN),21.8M,5.28,0.46,9.54
48,Core Scientific Inc. (CORZ),17.1M,10.96,0.94,9.33
49,SEACOR Marine Holdings Inc. (SMHI),128.9K,6.24,0.53,9.28
50,Urban Outfitters Inc. (URBN),2.7M,57.83,4.91,9.28
51,Puma Biotechnology Inc. (PBYI),517.1K,3.02,0.26,9.21
52,ADT Inc. (ADT),18.4M,8.22,0.69,9.1
53,Snowflake Inc. (SNOW),15.0M,181.26,15.07,9.07
54,Ardent Health Partners Inc. (ARDT),675.4K,15.28,1.26,9.03
55,Mainz Biomed N.V. (MYNZ),200.8K,6.19,0.51,8.98
56,BeiGene Ltd. ADR (ONC),765.8K,282.07,23.07,8.91
57,ZEEKR Intelligent Technology Holding Ltd. ADR (ZK),862.2K,27.36,2.2,8.73
58,Identiv Inc. (INVE),72.6K,3.92,0.31,8.59
59,Verona Pharma PLC ADR (VRNA),1.5M,68.86,5.34,8.41
60,BioAge Labs Inc. (BIOA),153.3K,4.54,0.35,8.35
61,NewtekOne Inc. (NEWT),252.3K,13.22,0.99,8.09
62,Lyft Inc. Cl A (LYFT),24.8M,13.85,1.03,8.06
63,ACI Worldwide Inc. (ACIW),683.0K,54.65,4.07,8.05
64,Talos Energy Inc. (TALO),3.0M,9.38,0.69,8.01
65,Bristow Group Inc. (VTOL),246.4K,37.57,2.76,7.93
66,Privia Health Group Inc. (PRVA),923.0K,25.94,1.89,7.83
67,Catalyst Pharmaceuticals Inc. (CPRX),1.3M,22.19,1.61,7.81
68,GEO Group Inc. (GEO),3.4M,27.78,2.0,7.76
69,Kennedy-Wilson Holdings Inc. (KW),714.9K,9.86,0.69,7.52
70,EyePoint Pharmaceuticals Inc. (EYPT),295.4K,6.34,0.44,7.46
71,Vera Therapeutics Inc. (VERA),243.8K,29.82,2.05,7.39
72,Bullfrog AI Holdings Inc. (BFRG),625.9K,2.8,0.18,6.87
73,Confluent Inc. (CFLT),4.1M,32.88,2.09,6.79
74,ProFrac Holding Corp. (ACDC),349.3K,7.32,0.47,6.78
75,Expensify Inc. (EXFY),538.9K,3.38,0.21,6.75
76,Unum Group (UNM),1.4M,82.47,5.19,6.72
77,Hilton Grand Vacations Inc. (HGV),1.0M,43.23,2.72,6.71
78,ECARX Holdings Inc. (ECX),3.3M,2.48,0.15,6.65
79,NewAmsterdam Pharma Co. N.V. (NAMS),463.9K,21.02,1.31,6.65
80,Spire Global Inc. (SPIR),388.0K,11.78,0.73,6.61
81,Digital Turbine Inc. (APPS),3.6M,3.82,0.24,6.59
82,Wolfspeed Inc. (WOLF),16.1M,6.54,0.4,6.52
83,Krispy Kreme Inc. (DNUT),5.9M,6.35,0.39,6.45
84,TEGNA Inc. (TGNA),903.0K,17.7,1.07,6.43
85,Capricor Therapeutics Inc. (CAPR),651.2K,15.38,0.92,6.37
86,Capri Holdings Ltd. (CPRI),1.7M,22.44,1.32,6.27
87,Delek US Holdings Inc. (DK),1.1M,16.06,0.94,6.22
88,Chemed Corp. (CHE),127.3K,579.7,33.91,6.21
89,Ardagh Metal Packaging S.A. (AMBP),2.1M,3.09,0.18,6.19
90,NIO Inc. ADR (NIO),109.2M,5.01,0.29,6.14
91,Diginex Ltd. (DGNX),57.7K,61.53,3.54,6.1
92,Grocery Outlet Holding Corp. (GO),2.9M,11.66,0.67,6.1
93,Windtree Therapeutics Inc. (WINT),438.0K,3.68,0.21,6.05
94,Candel Therapeutics Inc. (CADL),619.5K,8.97,0.51,5.97
95,Cogent Biosciences Inc. (COGT),2.1M,7.11,0.4,5.96
96,Cleveland-Cliffs Inc. (CLF),12.3M,11.2,0.63,5.96
97,Maze Therapeutics Inc. (MAZE),137.6K,12.38,0.69,5.85
98,Obsidian Energy Ltd. (OBE),439.9K,5.52,0.3,5.85
99,FTAI Infrastructure Inc. (FIP),826.1K,5.8,0.32,5.84
