,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,LMND,"Lemonade, Inc.",,36.87 +5.39 (+17.12%),5.39,+17.12%,5.351M,2.202M,2.681B,-,93.84%,
1,OTLY,Oatly Group AB,,9.36 +1.28 (+15.84%),1.28,+15.84%,690232,221298,279.379M,-,-63.60%,
2,RYCEF,Rolls-Royce Holdings plc,,9.24 +1.22 (+15.21%),1.22,+15.21%,36241,56605,78.585B,26.40,71.31%,
3,EVTC,"EVERTEC, Inc.",,37.22 +4.88 (+15.08%),4.88,+15.08%,616456,291586,2.368B,29.08,-10.49%,
4,RYCEY,Rolls-Royce Holdings plc,,9.24 +1.19 (+14.78%),1.19,+14.78%,2.002M,2.745M,78.585B,26.40,72.84%,
5,VSEC,VSE Corporation,,115.86 +14.86 (+14.72%),14.86,+14.72%,344956,239335,2.365B,56.80,36.30%,
6,HEI,HEICO Corporation,,259.42 +31.97 (+14.06%),31.97,+14.06%,680807,558981,31.919B,70.88,17.61%,
7,MPW,"Medical Properties Trust, Inc.",,5.43 +0.66 (+13.73%),0.66,+13.73%,17.484M,12.322M,3.257B,-,13.30%,
8,HEI-A,HEICO Corporation,,208.78 +24.26 (+13.15%),24.26,+13.15%,166057,230132,31.665B,56.89,18.59%,
9,NTNX,"Nutanix, Inc.",,78.30 +8.95 (+12.91%),8.95,+12.91%,5.826M,2.213M,20.979B,-,9.80%,
10,ERJ,Embraer S.A.,,48.04 +5.15 (+12.01%),5.15,+12.01%,3.828M,1.081M,8.823B,17.66,120.06%,
11,NXST,"Nexstar Media Group, Inc.",,163.79 +17.45 (+11.92%),17.45,+11.92%,699221,329777,5.081B,9.51,-11.93%,
12,WBD,"Warner Bros. Discovery, Inc.",,11.70 +1.20 (+11.43%),1.2,+11.43%,63.267M,28.498M,28.702B,-,19.45%,
13,MARA,"MARA Holdings, Inc.",,13.88 +1.43 (+11.45%),1.43,+11.45%,66.059M,42.745M,4.709B,16.72,-51.93%,
14,TGLS,Tecnoglass Inc.,,77.35 +7.37 (+10.53%),7.37,+10.53%,270812,276364,3.635B,24.17,49.66%,
15,GRBK,"Green Brick Partners, Inc.",,63.40 +5.56 (+9.61%),5.56,+9.61%,383456,292805,2.821B,8.22,-1.13%,
